ID,No.,状态,补货计算异常,风控异常,生单异常,门店编码,门店名称,商品编码,商品名称,舍入值,系统补货数,人工检核补货数,差异值,覆盖期预测销售,安全库存量(计算时),常规陈列,额外陈列,预计期初库存,正常日均销量,补货日正价期初,在途（当日收）,在途（未来日收）,下发规则,熟码商品编码,大分类编码,大分类名称,中分类编码,中分类名称,小分类编码,小分类名称,商品状态,订货分类编码,订货分类名称,销售分类,订货方式,规格,物流模式,内部供应商编码,内部供应商名称,订货单位,大小店标识,商品等级,自定义标签,保质期(天),货架期（天）,折损系数,订货行程,计划交货天数,下一次订货间隔,补货日,预计到货日,补货策略,促销来源,促销开始时间,促销结束时间,最大陈列,最小陈列,陈列百分比,额外陈列量（计算时）,额外陈列百分比（计算时）,补货类型,促销日均销量,D-14销量,D-13销量,D-12销量,D-11销量,D-10销量,D-9销量,D-8销量,D-7销量,D-6销量,D-5销量,D-4销量,D-3销量,D-2销量,D-1销量,D-14markdown销量,D-13markdown销量,D-12markdown销量,D-11markdown销量,D-10markdown销量,D-9markdown销量,D-8markdown销量,D-7markdown销量,D-6markdown销量,D-5markdown销量,D-4markdown销量,D-3markdown销量,D-2markdown销量,D-1markdown销量,D预测销量,D+1预测销量,D+2预测销量,D+3预测销量,D+4预测销量,D+5预测销量,D+6预测销量,预测7日均值,服务水平（计算时）,安全库存量（服务水平）,安全库存上限（天）,安全库存下限（天）,安全库存量上限,安全库存量下限,档期内安全天数,总库存（计算时）,在途（计算时）,库存（实时）,实时库存同步时间,库存天数,补货后库存天数,再订货点,目标库存,需求量,需求单位,团购额外补货数,其他额外补货数,额外需求在途（计算时）,额外需求在途（当日收）,额外需求在途（未来日收）,检核修改原因,生单补货数,商品类型,D日正价销售,D日markdown销售,实时销售同步时间,商品标识
"125,827,631 ",1 ,默认正常,（无异常）该店品当日可以下单,,,1001,静安体育中心店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,48.00 ,48.00 ,0.00 ,20.30 ,27.20 ,4.00 ,0.00 ,42.20 ,22.70 ,58.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,25.00 ,25.00 ,22.00 ,17.00 ,24.00 ,22.00 ,19.00 ,24.00 ,23.00 ,22.00 ,30.00 ,16.00 ,20.00 ,21.00 ,1.00 ,3.00 ,6.00 ,1.00 ,0.00 ,0.00 ,1.00 ,9.00 ,1.00 ,2.00 ,3.00 ,2.00 ,2.00 ,1.00 ,15.80 ,20.30 ,18.80 ,18.80 ,16.90 ,17.80 ,17.20 ,18.20 ,0.97 ,0.00 ,3.00 ,1.50 ,53.44 ,27.24 ,0.00 ,58.00 ,0.00 ,58.00 ,2025-12-04 08:16:29,2.70 ,4.90 ,48.00 ,48.00 ,5.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,825,621 ",2 ,默认正常,（无异常）该店品当日可以下单,,,1003,徐汇沪港国际大厦,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,48.00 ,48.00 ,0.00 ,20.10 ,28.20 ,4.00 ,0.00 ,47.80 ,22.40 ,63.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,21.00 ,19.00 ,21.00 ,19.00 ,24.00 ,25.00 ,17.00 ,20.00 ,27.00 ,27.00 ,17.00 ,23.00 ,20.00 ,14.00 ,0.00 ,0.00 ,12.00 ,4.00 ,1.00 ,2.00 ,2.00 ,0.00 ,1.00 ,2.00 ,1.00 ,2.00 ,3.00 ,0.00 ,15.20 ,20.10 ,18.10 ,17.80 ,16.40 ,16.90 ,16.80 ,19.00 ,0.97 ,0.00 ,3.00 ,1.50 ,55.31 ,28.18 ,0.00 ,63.00 ,0.00 ,51.00 ,2025-12-04 08:16:29,2.80 ,5.00 ,48.00 ,48.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,823,611 ",3 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1006,浦东富都广场店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,23.80 ,32.50 ,4.00 ,0.00 ,67.80 ,24.80 ,37.00 ,48.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,30.00 ,24.00 ,30.00 ,27.00 ,24.00 ,20.00 ,16.00 ,28.00 ,24.00 ,28.00 ,21.00 ,16.00 ,21.00 ,26.00 ,4.00 ,3.00 ,2.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,17.20 ,23.80 ,24.10 ,23.40 ,19.10 ,19.90 ,19.60 ,21.60 ,0.97 ,0.00 ,3.00 ,1.50 ,65.05 ,32.52 ,0.00 ,37.00 ,48.00 ,85.00 ,2025-12-04 08:16:29,1.50 ,3.40 ,56.00 ,56.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,831,651 ",4 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1010,松江涞坊店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,9.10 ,12.40 ,4.00 ,0.00 ,31.30 ,10.00 ,38.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,8.00 ,12.00 ,16.00 ,13.00 ,8.00 ,10.00 ,8.00 ,10.00 ,10.00 ,10.00 ,11.00 ,10.00 ,7.00 ,13.00 ,1.00 ,1.00 ,0.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,6.70 ,9.10 ,10.10 ,10.10 ,6.70 ,7.40 ,7.40 ,8.30 ,0.97 ,0.00 ,3.00 ,1.50 ,24.75 ,12.37 ,0.00 ,38.00 ,0.00 ,33.00 ,2025-12-04 08:16:29,3.90 ,3.90 ,21.00 ,21.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,833,661 ",5 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1011,浦东世茂店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,14.00 ,18.30 ,4.00 ,0.00 ,49.10 ,15.80 ,60.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,19.00 ,18.00 ,15.00 ,21.00 ,14.00 ,18.00 ,18.00 ,11.00 ,12.00 ,17.00 ,20.00 ,11.00 ,12.00 ,18.00 ,1.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,3.00 ,0.00 ,0.00 ,0.00 ,4.00 ,2.00 ,0.00 ,10.90 ,14.00 ,12.80 ,13.70 ,11.30 ,12.50 ,12.50 ,12.40 ,0.97 ,0.00 ,3.00 ,1.50 ,36.53 ,18.27 ,0.00 ,60.00 ,0.00 ,50.00 ,2025-12-04 08:16:29,4.10 ,4.10 ,32.00 ,32.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,835,671 ",6 ,默认正常,（无异常）该店品当日可以下单,,,1013,静安万航渡店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,48.00 ,48.00 ,0.00 ,15.90 ,23.00 ,4.00 ,0.00 ,26.00 ,16.40 ,39.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,15.00 ,16.00 ,14.00 ,16.00 ,14.00 ,15.00 ,17.00 ,19.00 ,15.00 ,14.00 ,11.00 ,15.00 ,19.00 ,18.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,13.10 ,15.90 ,14.30 ,15.00 ,14.00 ,15.30 ,14.60 ,15.50 ,0.97 ,0.00 ,3.00 ,1.50 ,45.88 ,22.96 ,0.00 ,39.00 ,0.00 ,39.00 ,2025-12-04 08:16:29,2.30 ,5.20 ,39.00 ,39.00 ,13.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,837,681 ",7 ,默认正常,（无异常）该店品当日可以下单,,,1014,杨浦控江店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,48.00 ,48.00 ,0.00 ,19.90 ,27.20 ,4.00 ,0.00 ,38.60 ,20.30 ,53.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,16.00 ,19.00 ,15.00 ,24.00 ,23.00 ,24.00 ,14.00 ,16.00 ,24.00 ,15.00 ,27.00 ,19.00 ,20.00 ,23.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,14.50 ,19.90 ,20.30 ,21.20 ,16.70 ,17.80 ,16.70 ,18.50 ,0.97 ,0.00 ,3.00 ,1.50 ,54.32 ,27.16 ,0.00 ,53.00 ,0.00 ,35.00 ,2025-12-04 08:16:29,2.60 ,5.00 ,47.00 ,47.00 ,9.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,841,736 ",8 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1015,闵行红松店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,10.90 ,16.70 ,4.00 ,0.00 ,30.80 ,12.60 ,39.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,16.00 ,12.00 ,14.00 ,12.00 ,7.00 ,14.00 ,10.00 ,14.00 ,12.00 ,15.00 ,12.00 ,8.00 ,16.00 ,5.00 ,0.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,3.00 ,1.00 ,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,8.20 ,10.90 ,11.20 ,11.40 ,8.30 ,9.50 ,9.00 ,11.40 ,0.97 ,0.00 ,3.00 ,1.50 ,33.31 ,16.66 ,0.00 ,39.00 ,0.00 ,32.00 ,2025-12-04 08:16:29,3.10 ,3.10 ,28.00 ,28.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,829,641 ",9 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1016,长岛店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,17.50 ,25.70 ,4.00 ,0.00 ,44.00 ,21.40 ,57.00 ,0.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,24.00 ,18.00 ,38.00 ,40.00 ,15.00 ,17.00 ,16.00 ,14.00 ,16.00 ,30.00 ,28.00 ,16.00 ,21.00 ,18.00 ,11.00 ,2.00 ,14.00 ,0.00 ,0.00 ,1.00 ,1.00 ,0.00 ,0.00 ,0.00 ,2.00 ,1.00 ,4.00 ,0.00 ,13.00 ,17.50 ,21.70 ,22.30 ,13.70 ,14.20 ,14.70 ,18.00 ,0.97 ,0.00 ,3.00 ,1.50 ,51.50 ,25.75 ,0.00 ,57.00 ,0.00 ,57.00 ,2025-12-04 08:16:29,2.70 ,2.70 ,43.00 ,43.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
"125,839,726 ",10 ,默认正常,"（计算逻辑限制）补货计算时该店品库存大于再订货点库存
（计算逻辑限制）补货计算时该店品到货日期初库存大于目标库存",,,1018,莲花路店,50000161,奥小辣烤鸡腿Spicy Roasted Chicken Leg,48.00 ,0.00 ,0.00 ,0.00 ,35.60 ,49.20 ,4.00 ,0.00 ,87.40 ,36.30 ,66.00 ,48.00 ,0.00 ,CC&BB热柜推单,10003603,05,Chilled Convenience,0572,Chilled Prepared Food (RTC),057201,Ready Meals,1 可订货商品,7,RTC/RTE,热柜Hot Cabinet,中央订货,0.0一份,在库,DC04,奥乐齐DC04,EA,大店,B,,365,364,1,"1,2,3,4,5,6,7",1 ,1 ,2025-12-04,2025-12-05,常规策略,Members Only 会员专享,2023-05-23,2042-05-23,9 ,3 ,40.00 ,,,动态补货,,39.00 ,53.00 ,42.00 ,37.00 ,30.00 ,35.00 ,48.00 ,24.00 ,39.00 ,41.00 ,28.00 ,35.00 ,40.00 ,28.00 ,0.00 ,0.00 ,10.00 ,4.00 ,0.00 ,0.00 ,14.00 ,0.00 ,4.00 ,4.00 ,1.00 ,5.00 ,0.00 ,0.00 ,26.60 ,35.60 ,32.90 ,31.20 ,27.50 ,29.70 ,28.40 ,32.80 ,0.97 ,0.00 ,3.00 ,1.50 ,94.61 ,49.24 ,0.00 ,66.00 ,48.00 ,114.00 ,2025-12-04 08:16:29,1.90 ,3.20 ,85.00 ,85.00 ,0.00 ,EA,0.00 ,0.00 ,0.00 ,0.00 ,0.00 ,,,加工原材料,,,,生鲜
